rect54s4:[145, 243] [188, 235]
rect55s1:[112, 193] [112, 343]
rect55s2:[344, 199] [406, 198]
rect55s3:[400, 192] [400, 343]
rect55s4:[145, 243] [188, 235]
rect56s1:[344, 199] [406, 198]
rect56s2:[336, 192] [336, 343]
rect56s3:[336, 243] [407, 244]
rect56s4:[144, 184] [144, 343]
rect57s1:[344, 199] [406, 198]
rect57s2:[144, 184] [144, 343]
rect57s3:[336, 243] [407, 244]
rect57s4:[400, 192] [400, 343]
rect58s1:[344, 199] [406, 198]
rect58s2:[336, 192] [336, 343]
rect58s3:[488, 244] [559, 244]
rect58s4:[144, 184] [144, 343]
rect59s1:[489, 202] [559, 199]
rect59s2:[144, 184] [144, 343]
rect59s3:[336, 243] [407, 244]
rect59s4:[400, 192] [400, 343]
rect60s1:[344, 199] [406, 198]
rect60s2:[144, 184] [144, 343]
rect60s3:[488, 244] [559, 244]
rect60s4:[400, 192] [400, 343]
rect61s1:[936, 243] [1007, 244]
rect61s2:[1304, 184] [1304, 343]
rect61s3:[1080, 195] [1151, 195]
rect61s4:[934, 193] [934, 349]
rect62s1:[936, 243] [1007, 244]
rect62s2:[1304, 184] [1304, 343]
rect62s3:[1080, 195] [1151, 195]
rect62s4:[1082, 192] [1082, 351]
rect63s1:[1080, 195] [1151, 195]
rect63s2:[1304, 184] [1304, 343]
rect63s3:[1088, 242] [1151, 241]
rect63s4:[1000, 200] [1000, 351]
rect64s1:[1399, 184] [1399, 343]
rect64s2:[1080, 195] [1151, 195]
rect64s3:[1000, 200] [1000, 351]
rect64s4:[1347, 238] [1421, 241]
rect65s1:[344, 199] [406, 198]
rect65s2:[336, 192] [336, 343]
rect65s3:[336, 243] [407, 244]
rect65s4:[72, 193] [72, 343]
rect66s1:[144, 184] [144, 343]
rect66s2:[344, 199] [406, 198]
rect66s3:[488, 201] [488, 351]
rect66s4:[145, 243] [188, 235]
rect67s1:[344, 199] [406, 198]
rect67s2:[336, 192] [336, 343]
rect67s3:[336, 243] [407, 244]
rect67s4:[112, 193] [112, 343]
rect68s1:[344, 199] [406, 198]
rect68s2:[112, 193] [112, 343]
rect68s3:[336, 243] [407, 244]
rect68s4:[400, 192] [400, 343]
rect69s1:[344, 199] [406, 198]
rect69s2:[184, 193] [184, 343]
rect69s3:[336, 243] [407, 244]
rect69s4:[336, 192] [336, 343]
rect70s1:[344, 199] [406, 198]
rect70s2:[144, 184] [144, 343]
rect70s3:[336, 243] [407, 244]
rect70s4:[544, 192] [544, 351]
rect71s1:[489, 202] [559, 199]
rect71s2:[184, 193] [184, 343]
rect71s3:[336, 243] [407, 244]
rect71s4:[400, 192] [400, 343]
rect72s1:[344, 199] [406, 198]
rect72s2:[184, 193] [184, 343]
rect72s3:[488, 244] [559, 244]
rect72s4:[400, 192] [400, 343]
rect73s1:[1080, 195] [1151, 195]
rect73s2:[1082, 192] [1082, 351]
rect73s3:[1088, 242] [1151, 241]
rect73s4:[847, 192] [847, 351]
rect74s1:[1080, 195] [1151, 195]
rect74s2:[934, 193] [934, 349]
rect74s3:[1088, 242] [1151, 241]
rect74s4:[1082, 192] [1082, 351]
rect75s1:[936, 243] [1007, 244]
rect75s2:[1304, 184] [1304, 343]
rect75s3:[1080, 195] [1151, 195]
rect75s4:[1000, 200] [1000, 351]
rect76s1:[936, 199] [1007, 201]
rect76s2:[1304, 184] [1304, 343]
rect76s3:[1088, 242] [1151, 241]
rect76s4:[1082, 192] [1082, 351]
rect77s1:[336, 192] [336, 343]
rect77s2:[0, 212] [31, 211]
rect77s3:[144, 184] [144, 343]
rect77s4:[145, 243] [188, 235]
rect78s1:[144, 184] [144, 343]
rect78s2:[0, 212] [31, 211]
rect78s3:[400, 192] [400, 343]
rect78s4:[145, 243] [188, 235]
rect79s1:[72, 193] [72, 343]
rect79s2:[344, 199] [406, 198]
rect79s3:[488, 201] [488, 351]
rect79s4:[145, 243] [188, 235]
rect80s1:[112, 193] [112, 343]
rect80s2:[344, 199] [406, 198]
rect80s3:[488, 201] [488, 351]
rect80s4:[145, 243] [188, 235]
rect81s1:[344, 199] [406, 198]
rect81s2:[184, 193] [184, 343]
rect81s3:[336, 243] [407, 244]
rect81s4:[544, 192] [544, 351]
rect82s1:[489, 202] [559, 199]
rect82s2:[336, 192] [336, 343]
rect82s3:[336, 243] [407, 244]
rect82s4:[544, 192] [544, 351]
rect83s1:[344, 199] [406, 198]
rect83s2:[336, 192] [336, 343]
rect83s3:[488, 244] [559, 244]
rect83s4:[544, 192] [544, 351]
rect84s1:[344, 199] [406, 198]
rect84s2:[400, 192] [400, 343]
rect84s3:[488, 244] [559, 244]
rect84s4:[544, 192] [544, 351]
rect85s1:[640, 244] [702, 243]
rect85s2:[336, 192] [336, 343]
rect85s3:[344, 199] [406, 198]
rect85s4:[544, 192] [544, 351]
rect86s1:[489, 202] [559, 199]
rect86s2:[695, 192] [695, 351]
rect86s3:[336, 243] [407, 244]
rect86s4:[400, 192] [400, 343]
rect87s1:[344, 199] [406, 198]
rect87s2:[695, 192] [695, 351]
rect87s3:[488, 244] [559, 244]
rect87s4:[400, 192] [400, 343]
rect88s1:[640, 244] [702, 243]
rect88s2:[336, 192] [336, 343]
rect88s3:[489, 202] [559, 199]
rect88s4:[544, 192] [544, 351]
rect89s1:[640, 244] [702, 243]
rect89s2:[336, 192] [336, 343]
rect89s3:[344, 199] [406, 198]
rect89s4:[695, 192] [695, 351]
rect90s1:[640, 244] [702, 243]
rect90s2:[336, 192] [336, 343]
rect90s3:[489, 202] [559, 199]
rect90s4:[695, 192] [695, 351]
rect91s1:[640, 244] [702, 243]
rect91s2:[695, 192] [695, 351]
rect91s3:[489, 202] [559, 199]
rect91s4:[400, 192] [400, 343]
rect92s1:[640, 244] [702, 243]
rect92s2:[784, 192] [784, 351]
rect92s3:[489, 202] [559, 199]
rect92s4:[400, 192] [400, 343]
rect93s1:[1080, 195] [1151, 195]
rect93s2:[784, 192] [784, 351]
rect93s3:[784, 242] [855, 244]
rect93s4:[934, 193] [934, 349]
rect94s1:[1080, 195] [1151, 195]
rect94s2:[784, 192] [784, 351]
rect94s3:[784, 242] [855, 244]
